"Transaction Date","First Name","Last Name",Title,Symbol,Name,"Transaction Total",Transaction,"Note Text"
2023-09-11,Clifford,Franklin,"US Congressman",WMT,"Walmart Inc",32500,Sell,"Traded $15,001 to $50,000 ."
2023-09-11,Clifford,Franklin,"US Congressman",V,"Visa Inc",32500,Sell,"Traded $15,001 to $50,000 ."
2023-09-11,Clifford,Franklin,"US Congressman",UNH,"Unitedhealth G",32500,Sell,"Traded $15,001 to $50,000 ."
2023-09-11,Clifford,Franklin,"US Congressman",UPS,"United Parcel ",32500,Sell,"Traded $15,001 to $50,000 ."
2023-09-11,Clifford,Franklin,"US Congressman",SBUX,"Starbucks Corp",32500,Sell,"Traded $15,001 to $50,000 ."
2023-09-11,Clifford,Franklin,"US Congressman",PG,"Procter & Gamb",32500,Sell,"Traded $15,001 to $50,000 ."
2023-09-11,Clifford,Franklin,"US Congressman",PFE,"Pfizer Inc",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-11,Clifford,Franklin,"US Congressman",PEP,"Pepsico Inc",32500,Sell,"Traded $15,001 to $50,000 ."
2023-09-11,Clifford,Franklin,"US Congressman",NEE,"Nextera Energy",32500,Sell,"Traded $15,001 to $50,000 ."
2023-09-11,Clifford,Franklin,"US Congressman",MSFT,"Microsoft Corp",32500,Sell,"Traded $15,001 to $50,000 ."
2023-09-11,Clifford,Franklin,"US Congressman",MRK,"Merck & Compan",32500,Sell,"Traded $15,001 to $50,000 ."
2023-09-11,Clifford,Franklin,"US Congressman",MCD,"McDonald's Cor",32500,Sell,"Traded $15,001 to $50,000 ."
2023-09-11,Clifford,Franklin,"US Congressman",JPM,"JP Morgan Chas",32500,Sell,"Traded $15,001 to $50,000 ."
2023-09-11,Clifford,Franklin,"US Congressman",JNJ,"Johnson & John",32500,Sell,"Traded $15,001 to $50,000 ."
2023-09-11,Clifford,Franklin,"US Congressman",IJR,"S&P Smallcap I",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-11,Clifford,Franklin,"US Congressman",QQQ,"Nasdaq QQQ Inv",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-11,Clifford,Franklin,"US Congressman",HD,"Home Depot",32500,Sell,"Traded $15,001 to $50,000 ."
2023-09-11,Joshua,Gottheimer,"US Congressman",NVDA,"Nvidia Corp",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-11,Kevin,Hern,"US Congressman",ROK,"Rockwell Autom",8000,Buy,"Traded $1,001 to $15,000 ."
2023-09-11,Clifford,Franklin,"US Congressman",DFS,"Discover Finan",32500,Sell,"Traded $15,001 to $50,000 ."
2023-09-11,Clifford,Franklin,"US Congressman",CSCO,"Cisco Systems ",75000,Sell,"Traded $50,001 to $100,000 ."
2023-09-11,Clifford,Franklin,"US Congressman",AAPL,"Apple Inc",32500,Sell,"Traded $15,001 to $50,000 ."
2023-09-11,Clifford,Franklin,"US Congressman",GOOG,"Alphabet Cl C",75000,Sell,"Traded $50,001 to $100,000 ."
2023-09-11,Rohit,Khanna,"US Congressman",MODG,"Topgolf Callaw",8000,Buy,"By Spouse.Traded $1,001 To $15,000 ."
2023-09-11,Lloyd,Doggett,"US Congressman",IBM,"International ",8000,Buy,"Traded $1,001 to $15,000 ."
2023-09-08,Michael,Mccaul,"US Congressman",SF,"Stifel Financi",8000,Buy,"By Dependent Child. Traded $1,001 to $15,000 ."
2023-09-08,Michael,Mccaul,"US Congressman",CTS,"Cts Corp",32500,Buy,"By Dependent Child.Traded $15,001 to $50,000 ."
2023-09-08,Michael,Mccaul,"US Congressman",SF,"Stifel Financi",32500,Buy,"By Spouse.Traded $15,001 To $50,000 ."
2023-09-08,Michael,Mccaul,"US Congressman",CTS,"Cts Corp",32500,Buy,"By Spouse. Traded $15,001 To $50,000 ."
2023-09-08,Thomas,Tuberville,"US Senator",LLY,"Eli Lilly and ",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",XEL,"XCEL Energy In",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",WSO,"Watsco Inc",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",WAT,"Waters Corp",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",WRB,"W.R. Berkley C",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",VNT,"Vontier Corp",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",UNP,"Union Pacific ",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",ULTA,"Ulta Beauty In",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Thomas,Tuberville,"US Senator",KMB,Kimberly-Clark,32500,Buy,"Traded $15,001 to $50,000 ."
2023-09-08,Lois,Frankel,"US Congressman",TT,"Trane Technolo",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Thomas,Tuberville,"US Senator",CLF,Cleveland-Clif,75000,Buy,"Traded $50,001 to $100,000 ."
2023-09-08,Lois,Frankel,"US Congressman",TMO,"Thermo Fisher ",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",HSY,"Hershey Foods ",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",CI,"The Cigna Grou",32500,Sell,"Traded $15,001 to $50,000 ."
2023-09-08,Lois,Frankel,"US Congressman",TXN,"Texas Instrume",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",TEL,"Te Connectivit",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",TGT,"Target Corp",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",SUI,"Sun Communitie",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",SSNC,"SS&C Technolog",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",SO,"Southern Compa",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",SHW,Sherwin-Willia,8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",RGLD,"Royal Gold Inc",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",PLD,"Prologis Inc",32500,Sell,"Traded $15,001 to $50,000 ."
2023-09-08,Lois,Frankel,"US Congressman",PGR,"Progressive Co",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",PNC,"PNC Bank",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",PXD,"Pioneer Natura",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",PFE,"Pfizer Inc",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",PEP,"Pepsico Inc",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",PCAR,"Paccar Inc",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",NXPI,"Nxp Semiconduc",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",NOC,"Northrop Grumm",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",NSA,"National Stora",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",NDAQ,"Nasdaq Inc",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",MS,"Morgan Stanley",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",MRK,"Merck & Compan",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",MCK,"Mckesson Corp",16001,Sell,"Traded $2,002 To $30,000 ."
2023-09-08,Lois,Frankel,"US Congressman",MMC,"Marsh & Mclenn",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",MAR,"Marriot Int Cl",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",MKL,"Markel Corp",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",MTB,"M&T Bank Corp",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",LOW,"Lowe's Compani",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",LKQ,"LKQ Corp",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-08,Lois,Frankel,"US Congressman",LBRDK,"Liberty Broadb",8000,Sell,"Traded $1,001 to $15,000 ."
